Order_ID,Order_Date,Customer_ID,Customer_Name,Region,State,Product,Units,Unit_Price,Discount,Sales,Cost,Profit,Sales_Channel,Payment_Mode,Sales_Rep,Return_Status
1001,19-03-2025,C201,Rahul Shah,West,Odisha,USB Hub,0,250,0,999999,0,209,Offline,UPI,Neha,Damaged
1002,17-10-2025,C157,Priya  Mehta,Unkown,Maharashtra,USB Hub,2,250,0.05,475,266,209,Online,Unkown,Neha,No
1003,14-10-2025,C126,Rahul Shah,West,Karnataka,Tablet,2,12500,0,25000,23333,1667,Unkown,Unkown,Ravi,Damaged
1004,21-08-2025,C192,Priya Mehta,West,Karnataka,Monitor,0,12500,0.15,0,0,1667,Online,CARD,Amit,No
1005,26-03-2025,Unkown ID,Unkown ,West,Delhi,Notebook Pack,0,1200,0,0,0,1667,Off Line,UPI,Amit,Unkown Status
1006,07-12-2025,C115,Priya  Mehta,South,Unkown State,Router,2,1200,0.1,0,0,1667,Online,CARD,Neha,No
1007,22-04-2025,C133,Priya Mehta,East,Maharastra,Desk,0,5400,0.15,5000,0,1667,Offline,Unkown,Neha,Unkown Status
1008,03-07-2025,C197,Rahul Shah,North,Tamil Nadu,Mouse,0,250,0.15,5000,0,1667,Online,UPI,Neha,Damaged
1009,09-11-2025,C244,Priya  Mehta,Unkown,Maharashtra,Desk,2,5400,0.15,9180,8380,800,Off Line,UPI,Neha,No
1010,14-08-2025,Unkown ID,Rahul Shah,West,Delhi,Laptop,0,12500,0,999999,0,800,Online,CARD,Neha,Damaged
1011,10-05-2025,Unkown ID,Unkown ,West,Delhi,Desk,2,5400,0.1,9720,6049,3671,Online,CASH,Amit ,Yes
1012,16-04-2025,C235,Priya  Mehta,Unkown,Maharashtra,Notebook Pack,5,5400,0,999999,0,3671,Offline,CASH,Neha,Unkown Status
1013,10-11-2025,Unkown ID,Priya  Mehta,North,Karnataka,Notebook Pack,0,5400,0,0,0,3671,Off Line,CASH,Neha,Unkown Status
1014,28-06-2025,C193,Rahul Shah,North,Unkown State,Mouse,0,5400,0.5,5000,0,3671,Off Line,CASH,Unkown,No
1015,03-03-2025,Unkown ID,Priya Mehta,East,Odisha,Monitor,2,5400,0.15,9180,11020,1840,Offline,CARD,Neha,No
1016,27-08-2025,C256,Unkown ,West,Odisha,Keyboard,0,250,0,5000,0,1840,Unkown,CARD,Amit ,Yes
1017,19-04-2025,C107,Arjun Nair,Unkown,Karnataka,USB Hub,0,12500,0.15,0,0,1840,Online,Unkown,Unkown,Damaged
1018,14-09-2025,C133,Rahul Shah,Unkown,Maharashtra,Desk,0,12500,0,0,0,1840,Off Line,CARD,Unkown,No
1019,16-06-2025,C235,Unkown ,West,Maharashtra,Mouse,0,250,0,0,0,1840,Online,UPI,Amit ,Unkown Status
1020,16-09-2025,C255,Priya  Mehta,South,Unkown State,Notebook Pack,2,12500,0.05,23750,24736,986,Online,CARD,Neha,Damaged
1021,04-03-2025,Unkown ID,Rahul Shah,West,Karnataka,Office Chair,0,12500,0.1,0,0,986,Offline,CASH,Neha,Unkown Status
1022,28-08-2025,Unkown ID,Unkown ,North,Karnataka,Keyboard,2,12500,0.15,21250,18435,2815,Online,UPI,Unkown,Unkown Status
1023,28-08-2025,Unkown ID,Priya  Mehta,West,Maharastra,Tablet,0,12500,0,0,0,2815,Offline,UPI,Amit,Unkown Status
1024,03-04-2025,Unkown ID,Priya  Mehta,South,Maharastra,Keyboard,2,12500,0.1,0,0,2815,Offline,Unkown,Amit,Unkown Status
1025,21-11-2025,C122,Rahul Shah,North,Delhi,Router,14,5400,0,75600,55748,19852,Online,CARD,Neha,No
1026,03-05-2025,Unkown ID,Rahul Shah,North,Karnataka,Router,0,12500,0,0,0,19852,Offline,CASH,Ravi,No
1027,19-01-2025,C104,Rahul Shah,Unkown,Karnataka,Notebook Pack,0,5400,0,5000,0,19852,Off Line,Unkown,Neha,Damaged
1028,07-06-2025,Unkown ID,Priya Mehta,West,Tamil Nadu,Office Chair,6,650,0,3900,2143,1757,Online,Unkown,Neha,No
1029,15-07-2025,C172,Priya Mehta,West,West Bengal,Laptop,0,650,0.1,9999999,0,1757,Online,CASH,Neha,Unkown Status
1030,08-06-2025,C155,Rahul Shah,South,Maharastra,Monitor,0,12500,0,0,0,1757,Online,UPI,Ravi,No
1031,28-10-2025,C110,Arjun Nair,South,Karnataka,Monitor,0,12500,0,5000,0,1757,Online,Unkown,Neha,Unkown Status
1032,26-11-2025,C111,Rahul Shah,West,Maharastra,Notebook Pack,3,12500,0.5,5000,0,1757,Offline,UPI,Amit,No
1033,04-07-2025,Unkown ID,Rahul Shah,West,Maharashtra,Notebook Pack,0,5400,0.1,0,0,1757,Online,CARD,Neha,No
1034,03-02-2025,C221,Arjun Nair,North,Karnataka,Mouse,2,5400,0,10800,8292,2508,Online,UPI,Neha,Yes
1035,17-03-2025,C165,Priya  Mehta,West,West Bengal,USB Hub,0,250,0.15,0,0,2508,Online,CARD,Unkown,Damaged
